code,name,type,tax_rate,description,ytd
090,Business Bank Account,Bank,Tax Exempt (0%),,7430.22
091,Business Savings Account,Bank,Tax Exempt (0%),,0.00
200,Sales,Revenue,Tax on Consulting (8.25%),Income from any normal business activity,29539.18
260,Other Revenue,Revenue,Tax on Consulting (8.25%),Any other income that does not relate to normal business activities and is not recurring,0.00
270,Interest Income,Revenue,Tax Exempt (0%),Interest income,0.00
300,Purchases,Direct Costs,Tax on Purchases (8.25%),Goods purchased with the intention of selling these to customers,775.98
310,Cost of Goods Sold,Direct Costs,Tax on Purchases (8.25%),Cost of goods sold by the business.,0.00
400,Advertising,Expense,Tax on Purchases (8.25%),Expenses incurred for advertising while trying to increase sales,9657.05
404,Bank Fees,Expense,Tax Exempt (0%),Fees charged by your bank for transactions regarding your bank account(s).,30.00
408,Cleaning,Expense,Tax on Purchases (8.25%),Expenses incurred for cleaning business property.,1110.00
412,Consulting & Accounting,Expense,Tax on Purchases (8.25%),Expenses related to paying consultants,87.00
416,Depreciation,Expense,Tax Exempt (0%),The amount of the asset's cost (based on the useful life) that was consumed during the period,0.00
420,Entertainment,Expense,Tax Exempt (0%),Expenses paid by company for the business but are not deductable for income tax purposes.,1553.60
425,Freight & Courier,Expense,Tax on Purchases (8.25%),Expenses incurred on courier & freight costs,105.50
429,General Expenses,Expense,Tax on Purchases (8.25%),General expenses related to the running of the business.,166.28
433,Insurance,Expense,Tax on Purchases (8.25%),Expenses incurred for insuring the business' assets,0.00
437,Interest Expense,Expense,Tax Exempt (0%),"Any interest expenses paid to your tax authority, business bank accounts or credit card accounts.",0.00
441,Legal expenses,Expense,Tax on Purchases (8.25%),Expenses incurred on any legal matters,0.00
445,"Light, Power, Heating",Expense,Tax on Purchases (8.25%),"Expenses incurred for lighting, powering or heating the premises",335.82
449,Motor Vehicle Expenses,Expense,Tax on Purchases (8.25%),Expenses incurred on the running of company motor vehicles,654.36
453,Office Expenses,Expense,Tax on Purchases (8.25%),General expenses related to the running of the business office.,862.48
461,Printing & Stationery,Expense,Tax on Purchases (8.25%),Expenses incurred by the entity as a result of printing and stationery,94.41
469,Rent,Expense,Tax on Purchases (8.25%),The payment to lease a building or area.,3273.66
473,Repairs and Maintenance,Expense,Tax on Purchases (8.25%),Expenses incurred on a damaged or run down asset that will bring the asset back to its original condition.,1896.70
477,Wages and Salaries,Expense,Tax Exempt (0%),Payment to employees in exchange for their resources,0.00
478,Superannuation,Expense,Tax Exempt (0%),Superannuation contributions,0.00
485,Subscriptions,Expense,Tax on Purchases (8.25%),"E.g. Magazines, professional bodies",0.00
489,Telephone & Internet,Expense,Tax on Purchases (8.25%),"Expenditure incurred from any business-related phone calls, phone lines, or internet connections",236.37
493,Travel - National,Expense,Tax on Purchases (8.25%),Expenses incurred from domestic travel which has a business purpose,433.24
494,Travel - International,Expense,Tax Exempt (0%),Expenses incurred from international travel which has a business purpose,0.00
497,Bank Revaluations,Expense,Tax Exempt (0%),Bank account revaluations due for foreign exchange rate changes,Details
498,Unrealised Currency Gains,Expense,Tax Exempt (0%),Unrealised currency gains on outstanding items,Details
499,Realised Currency Gains,Expense,Tax Exempt (0%),Gains or losses made due to currency exchange rate changes,0.00
505,Income Tax Expense,Expense,Tax Exempt (0%),A percentage of total earnings paid to the government.,0.00
610,Accounts Receivable,Current Asset,Tax Exempt (0%),Outstanding invoices the company has issued out to the client but has not yet received in cash at balance date.,9194.51
620,Prepayments,Current Asset,Tax Exempt (0%),An expenditure that has been paid for in advance.,0.00
630,Inventory,Inventory,Tax Exempt (0%),Value of tracked inventory items for resale.,0.00
710,Office Equipment,Fixed Asset,Tax on Purchases (8.25%),Office equipment that is owned and controlled by the business,923.79
711,Less Accumulated Depreciation on Office Equipment,Fixed Asset,Tax Exempt (0%),The total amount of office equipment cost that has been consumed by the entity (based on the useful life),0.00
720,Computer Equipment,Fixed Asset,Tax on Purchases (8.25%),Computer equipment that is owned and controlled by the business,3774.49
721,Less Accumulated Depreciation on Computer Equipment,Fixed Asset,Tax Exempt (0%),The total amount of computer equipment cost that has been consumed by the business (based on the useful life),0.00
