number,contact,reference,date,due_date,status,currency,subtotal,tax_total,total,amount_paid,amount_due
AP,Xero,,2026-07-08,2026-07-08,PAID,USD,29.00,2.39,31.39,31.39,0.00
RENT,Truxton Property Management,,2026-07-11,2026-07-11,PAID,USD,1091.22,90.03,1181.25,1181.25,0.00
Rpt,PowerDirect,,2026-07-11,2026-07-21,PAID,USD,110.00,9.08,119.08,119.08,0.00
Rpt,Net Connect,,2026-07-12,2026-07-22,PAID,USD,41.50,3.42,44.92,44.92,0.00
945-OCon,Central Copiers,,2026-07-19,2026-07-24,AUTHORISED,USD,982.50,81.06,1063.56,900.00,163.56
9781,Net Connect,,2026-07-20,2026-07-31,PAID,USD,1350.00,113.88,1463.88,1463.88,0.00
,PC Complete,,2026-07-21,2026-07-21,PAID,USD,1804.50,148.87,1953.37,1682.74,0.00
5679,MCO Cleaning Services,,2026-07-21,2026-07-27,PAID,USD,110.00,9.08,119.08,119.08,0.00
AP,Swanston Security,,2026-07-21,2026-07-28,PAID,USD,55.00,4.54,59.54,34.10,0.00
SM0195,SMART Agency,,2026-07-21,2026-08-01,AUTHORISED,USD,1847.58,152.42,2000.00,0.00,2000.00
OG laptop,PC Complete,,2026-08-01,2026-08-01,PAID,USD,250.00,20.63,270.63,270.63,0.00
AP,Xero,,2026-08-08,2026-08-08,PAID,USD,29.00,2.39,31.39,31.39,0.00
M000435,MCO Cleaning Services,,2026-08-08,2026-08-15,PAID,USD,200.00,16.50,216.50,216.50,0.00
08-4123,Hoyt Productions,,2026-08-11,2026-08-21,PAID,USD,5500.00,453.75,5953.75,5953.75,0.00
Dep,Carlton Functions,,2026-08-11,2026-08-21,PAID,USD,1500.00,0.00,1500.00,1500.00,0.00
RENT,Truxton Property Management,,2026-08-11,2026-08-11,PAID,USD,1091.22,90.03,1181.25,1181.25,0.00
Rpt,PowerDirect,,2026-08-11,2026-08-21,PAID,USD,125.50,10.35,135.85,135.85,0.00
Rpt,Net Connect,,2026-08-12,2026-08-21,PAID,USD,43.25,3.57,46.82,46.82,0.00
M000442,MCO Cleaning Services,,2026-08-15,2026-08-22,PAID,USD,200.00,16.50,216.50,216.50,0.00
710,ABC Furniture,,2026-08-21,2026-08-21,PAID,USD,923.79,76.21,1000.00,1000.00,0.00
AP,Swanston Security,,2026-08-21,2026-08-28,AUTHORISED,USD,55.00,4.54,59.54,0.00,59.54
M000456,MCO Cleaning Services,,2026-08-22,2026-08-29,PAID,USD,200.00,16.50,216.50,216.50,0.00
M000463,MCO Cleaning Services,,2026-08-29,2026-09-05,PAID,USD,200.00,16.50,216.50,216.50,0.00
RENT,Truxton Property Management,,2026-08-31,2026-09-10,PAID,USD,1091.22,90.03,1181.25,1181.25,0.00
SM0210,SMART Agency,,2026-08-31,2026-09-10,AUTHORISED,USD,2309.47,190.53,2500.00,0.00,2500.00
,Bayside Club,,2026-09-05,2026-09-15,AUTHORISED,USD,120.09,9.91,130.00,0.00,130.00
,PC Complete,,2026-09-05,2026-10-11,AUTHORISED,USD,1969.99,162.52,2132.51,0.00,2132.51
M000471,MCO Cleaning Services,,2026-09-05,2026-09-12,PAID,USD,200.00,16.50,216.50,216.50,0.00
,Gateway Motors,,2026-09-06,2026-10-07,PAID,USD,380.00,31.35,411.35,411.35,0.00
,Young Bros Transport,,2026-09-07,2026-09-20,AUTHORISED,USD,115.50,9.53,125.03,0.00,125.03
AP,Xero,,2026-09-07,2026-09-07,AUTHORISED,USD,29.00,2.39,31.39,0.00,31.39
GB1-White,Bayside Wholesale,,2026-09-08,2026-09-19,AUTHORISED,USD,775.98,64.02,840.00,0.00,840.00
Rpt,PowerDirect,,2026-09-10,2026-09-20,AUTHORISED,USD,100.32,8.28,108.60,0.00,108.60
CS815,Capital Cab Co,,2026-09-11,2026-09-17,AUTHORISED,USD,223.56,18.44,242.00,0.00,242.00
Rpt,Net Connect,,2026-09-11,2026-09-21,AUTHORISED,USD,50.00,4.13,54.13,0.00,54.13
AP,Swanston Security,,2026-09-20,2026-09-28,VOIDED,USD,55.00,4.54,59.54,0.00,59.54
AP,Xero,,2026-10-08,2026-10-23,VOIDED,USD,29.00,2.39,31.39,0.00,31.39
RENT,Truxton Property Management,,2026-10-11,2026-10-23,VOIDED,USD,1091.22,90.03,1181.25,0.00,1181.25
Rpt,PowerDirect,,2026-10-11,2026-11-01,DELETED,USD,105.00,8.66,113.66,0.00,113.66
Rpt,Net Connect,,2026-10-12,2026-11-19,DELETED,USD,39.00,3.22,42.22,0.00,42.22
AP,Swanston Security,,2026-10-21,2026-10-29,VOIDED,USD,55.00,4.54,59.54,0.00,59.54
AP,Xero,,2026-11-08,2026-11-20,VOIDED,USD,29.00,2.39,31.39,0.00,31.39
RENT,Truxton Property Management,,2026-11-11,2026-11-20,VOIDED,USD,1091.22,90.03,1181.25,0.00,1181.25
Rpt,PowerDirect,,2026-11-11,2026-11-29,DELETED,USD,105.00,8.66,113.66,0.00,113.66
Rpt,Net Connect,,2026-11-12,2026-09-11,DELETED,USD,39.00,3.22,42.22,0.00,42.22
AP,Swanston Security,,2026-11-19,2026-11-26,VOIDED,USD,55.00,4.54,59.54,0.00,59.54
