name,type,email,phone,town
24 Locks,,,,
7-Eleven,,,,
Abby & Wells,,,,
ABC Furniture,supplier,info@abfl.com,1 800 124578,
Adam Michkevich,,pzkjjjibecbhyotxma@onldm.net,,
Bank West,customer,,02 2023456,Pinehaven
Basket Case,customer,,,Pinehaven
Bayside Club,customer;supplier,secretarybob@bsclub.co,202 2024455,Ridge Heights
Bayside Wholesale,supplier,,,
Berry Brew,,,,
Boom FM,customer,,,
Brunswick Petals,,,,
Capital Cab Co,supplier,,1 800 235689,
Carlton Functions,supplier,,,
Central Copiers,supplier,,,
City Agency,customer,,,Oaktown
City Limousines,customer,,01 8004001,Coppertown
Coco Cafe,,,,
DIISR - Small Business Services,customer,,01 8009001,
Dimples Warehouse,,,,
Eastside Club,,,,
Epicenter Cafe,,,,
Espresso 31,,,+64 4 23241290,
Fulton Airport Parking,,,,
Gable Print,,,,
Gateway Motors,supplier,,,
Hamilton Smith Ltd,customer,info@hsg.co,01 2345678,Oaktown
Hoyt Productions,supplier,,,
Luna Cafe,,,,
Marine Systems,customer,,,
MCO Cleaning Services,supplier,,,
Melrose Parking,,,,
Net Connect,supplier,,,
Office Supplies Company,,,,
Orlena Greenville,,,,
Passing Places Parking,,,,
PC Complete,supplier,,,
Petrie McLoud Watson & Associates,customer,,,
Port & Philip Freight,customer,,01 2323434,
PowerDirect,supplier,,,
Rex Media Group,customer,info@rexmedia.co,01 4546789,Oaktown
Ridgeway Bank,,,,
Ridgeway University,customer,,01 8005001,
RITE Agency,,,,
SMART Agency,supplier,,,
Swanston Security,supplier,,,
Telus,,,,
Truxton Property Management,supplier,,,
Woolworths Market,,,,
Xero,supplier,,,
Young Bros Transport,customer;supplier,rog@ybt.co,01 3435678,Oaktown
