number,contact,reference,date,due_date,status,currency,subtotal,tax_total,total,amount_paid,amount_due
INV-0001,Hamilton Smith Ltd,Monthly Support,2026-07-11,2026-07-22,PAID,USD,500.00,41.25,541.25,541.25,0.00
INV-0002,Young Bros Transport,Monthly Support,2026-07-11,2026-07-22,PAID,USD,500.00,41.25,541.25,541.25,0.00
INV-0003,Port & Philip Freight,Monthly Support,2026-07-11,2026-07-22,PAID,USD,500.00,41.25,541.25,541.25,0.00
INV-0004,Rex Media Group,Monthly Support,2026-07-11,2026-07-22,PAID,USD,500.00,41.25,541.25,541.25,0.00
INV-0005,Hamilton Smith Ltd,Monthly Support,2026-07-12,2026-07-22,PAID,USD,500.00,41.25,541.25,0.00,0.00
INV-0006,City Limousines,P/O 9711,2026-07-10,2026-07-20,AUTHORISED,USD,230.95,19.05,250.00,0.00,250.00
INV-0007,City Agency,Workshop,2026-07-14,2026-07-25,PAID,USD,547.80,45.43,593.23,593.23,0.00
INV-0008,Bank West,Training,2026-07-13,2026-07-24,PAID,USD,1200.00,99.00,1299.00,1299.00,0.00
INV-0009,Ridgeway University,P/O CRM08-12,2026-07-20,2026-08-11,PAID,USD,5715.94,471.56,6187.50,6187.50,0.00
INV-0010,Boom FM,Training,2026-07-19,2026-08-01,PAID,USD,500.00,41.25,541.25,0.00,0.00
INV-0011,Petrie McLoud Watson & Associates,Portal Proj,2026-07-25,2026-08-11,PAID,USD,1300.00,107.25,1407.25,1407.25,0.00
INV-0012,City Limousines,P/O 9711,2026-07-27,2026-08-06,AUTHORISED,USD,200.00,16.50,216.50,0.00,216.50
INV-0013,Boom FM,Training,2026-07-30,2026-08-11,PAID,USD,1000.00,82.50,1082.50,1082.50,0.00
INV-0016,DIISR - Small Business Services,Yr Ref W08-143,2026-08-01,2026-08-11,AUTHORISED,USD,775.00,63.94,838.94,568.31,270.63
INV-0017,City Limousines,Book,2026-07-30,2026-08-09,AUTHORISED,USD,19.95,1.75,21.70,0.00,21.70
INV-0018,Hamilton Smith Ltd,Monthly Support,2026-08-11,2026-08-21,PAID,USD,500.00,41.25,541.25,541.25,0.00
INV-0019,Young Bros Transport,Monthly Support,2026-08-11,2026-08-21,PAID,USD,500.00,41.25,541.25,541.25,0.00
INV-0020,Port & Philip Freight,Monthly Support,2026-08-11,2026-08-21,PAID,USD,500.00,41.25,541.25,541.25,0.00
INV-0021,Rex Media Group,Monthly Support,2026-08-11,2026-08-21,PAID,USD,500.00,41.25,541.25,541.25,0.00
INV-0022,DIISR - Small Business Services,Yr Ref W08-143,2026-08-11,2026-08-21,PAID,USD,219.95,18.25,238.20,216.50,0.00
INV-0024,City Limousines,P/O 9711,2026-09-05,2026-09-20,AUTHORISED,USD,650.00,53.63,703.63,0.00,703.63
INV-0025,Ridgeway University,P/O CRM08-12,2026-08-20,2026-09-10,AUTHORISED,USD,5715.94,471.56,6187.50,0.00,6187.50
INV-0026,Basket Case,,2026-09-10,2026-09-20,AUTHORISED,USD,844.85,69.70,914.55,0.00,914.55
INV-0027,Marine Systems,Ref MK815,2026-09-10,2026-09-16,AUTHORISED,USD,365.82,30.18,396.00,0.00,396.00
INV-0028,Bayside Club,GB1-White,2026-09-10,2026-09-29,AUTHORISED,USD,216.93,17.07,234.00,0.00,234.00
INV-0029,Hamilton Smith Ltd,Monthly support,2026-09-09,2026-09-24,DRAFT,USD,508.08,41.92,550.00,0.00,550.00
INV-0030,Rex Media Group,Monthly support,2026-09-09,2026-09-24,DRAFT,USD,508.08,41.92,550.00,0.00,550.00
INV-0031,City Agency,Golf Balls,2026-08-26,2026-09-02,PAID,USD,96.00,8.40,104.40,104.40,0.00
INV-0032,Bank West,Website,2026-08-26,2026-09-02,PAID,USD,300.00,24.75,324.75,324.75,0.00
INV-0033,Boom FM,Training,2026-08-31,2026-09-07,PAID,USD,500.00,41.25,541.25,541.25,0.00
INV-0034,Boom FM,Consulting,2026-09-03,2026-09-10,PAID,USD,3600.00,297.00,3897.00,3897.00,0.00
INV-0036,Petrie McLoud Watson & Associates,Consulting,2026-09-03,2026-09-10,PAID,USD,2070.00,170.78,2240.78,2240.78,0.00
