date,contact,document_type,document_number,amount,account_code,bank_account
1 Aug 2026,PC Complete,ACCPAY,OG laptop,270.63,800,Business Bank Account
10 Sep 2026,MCO Cleaning Services,ACCPAY,M000471,216.50,800,Business Bank Account
11 Aug 2026,Boom FM,ACCREC,INV-0013,1082.50,610,Business Bank Account
11 Aug 2026,DIISR - Small Business Services,ACCREC,INV-0016,568.31,610,Business Bank Account
11 Aug 2026,DIISR - Small Business Services,ACCREC,INV-0022,216.50,610,Business Bank Account
11 Aug 2026,Petrie McLoud Watson & Associates,ACCREC,INV-0011,1407.25,610,Business Bank Account
11 Aug 2026,Ridgeway University,ACCREC,INV-0009,6187.50,610,Business Bank Account
20 Jul 2026,Hamilton Smith Ltd,ACCREC,INV-0001,541.25,610,Business Bank Account
20 Jul 2026,Port & Philip Freight,ACCREC,INV-0003,541.25,610,Business Bank Account
20 Jul 2026,Rex Media Group,ACCREC,INV-0004,541.25,610,Business Bank Account
20 Jul 2026,Young Bros Transport,ACCREC,INV-0002,541.25,610,Business Bank Account
21 Aug 2026,ABC Furniture,ACCPAY,710,1000.00,800,Business Bank Account
21 Aug 2026,Carlton Functions,ACCPAY,Dep,1500.00,800,Business Bank Account
21 Aug 2026,Hamilton Smith Ltd,ACCREC,INV-0018,541.25,610,Business Bank Account
21 Aug 2026,Hoyt Productions,ACCPAY,08-4123,5953.75,800,Business Bank Account
21 Aug 2026,Net Connect,ACCPAY,Rpt,46.82,800,Business Bank Account
21 Aug 2026,Port & Philip Freight,ACCREC,INV-0020,541.25,610,Business Bank Account
21 Aug 2026,PowerDirect,ACCPAY,Rpt,135.85,800,Business Bank Account
21 Aug 2026,Rex Media Group,ACCREC,INV-0021,541.25,610,Business Bank Account
21 Aug 2026,Truxton Property Management,ACCPAY,RENT,1181.25,800,Business Bank Account
21 Aug 2026,Young Bros Transport,ACCREC,INV-0019,541.25,610,Business Bank Account
21 Jul 2026,Bank West,ACCREC,INV-0008,1299.00,610,Business Bank Account
21 Jul 2026,Net Connect,ACCPAY,Rpt,44.92,800,Business Bank Account
21 Jul 2026,PC Complete,ACCPAY,,1682.74,800,Business Bank Account
21 Jul 2026,PowerDirect,ACCPAY,Rpt,119.08,800,Business Bank Account
21 Jul 2026,Truxton Property Management,ACCPAY,RENT,1181.25,800,Business Bank Account
23 Aug 2026,MCO Cleaning Services,ACCPAY,M000435,216.50,800,Business Bank Account
25 Jul 2026,City Agency,ACCREC,INV-0007,593.23,610,Business Bank Account
27 Jul 2026,Central Copiers,ACCPAY,945-OCon,900.00,800,Business Bank Account
27 Jul 2026,MCO Cleaning Services,ACCPAY,5679,119.08,800,Business Bank Account
27 Jul 2026,Swanston Security,ACCPAY,AP,34.10,800,Business Bank Account
3 Sep 2026,City Agency,ACCREC,INV-0031,104.40,610,Business Bank Account
30 Aug 2026,MCO Cleaning Services,ACCPAY,M000442,216.50,800,Business Bank Account
30 Jul 2026,Net Connect,ACCPAY,9781,1463.88,800,Business Bank Account
31 Aug 2026,MCO Cleaning Services,ACCPAY,M000456,216.50,800,Business Bank Account
31 Aug 2026,Truxton Property Management,ACCPAY,RENT,1181.25,800,Business Bank Account
5 Sep 2026,MCO Cleaning Services,ACCPAY,M000463,216.50,800,Business Bank Account
6 Sep 2026,Bank West,ACCREC,INV-0032,324.75,610,Business Bank Account
7 Sep 2026,Boom FM,ACCREC,INV-0034,3897.00,610,Business Bank Account
7 Sep 2026,Boom FM,ACCREC,INV-0033,541.25,610,Business Bank Account
7 Sep 2026,Gateway Motors,ACCPAY,,411.35,800,Business Bank Account
8 Aug 2026,Xero,ACCPAY,AP,31.39,800,Business Bank Account
8 Jul 2026,Xero,ACCPAY,AP,31.39,800,Business Bank Account
9 Sep 2026,Petrie McLoud Watson & Associates,ACCREC,INV-0036,2240.78,610,Business Bank Account
